start	duration	text
128.449	0.010	then the question is what could happen
128.459	3.861	then the question is what could happen if I then push well there are many
132.320	0.010	if I then push well there are many
132.330	1.670	if I then push well there are many things that could happen
134.000	0.010	things that could happen
134.010	3.470	things that could happen and maybe one of these will apply and
137.480	0.010	and maybe one of these will apply and
137.490	1.930	and maybe one of these will apply and that will depend on my almost
139.420	0.010	that will depend on my almost
139.430	1.860	that will depend on my almost configuration of basically on the
141.290	0.010	configuration of basically on the
141.300	2.260	configuration of basically on the configuration of the organization of the
143.560	0.010	configuration of the organization of the
143.570	3.870	configuration of the organization of the organization in terms of the role that I
147.440	0.010	organization in terms of the role that I
147.450	2.090	organization in terms of the role that I have if I'm an owner and member or a
149.540	0.010	have if I'm an owner and member or a
149.550	2.210	have if I'm an owner and member or a collaborator and also the permission
151.760	0.010	collaborator and also the permission
151.770	2.170	collaborator and also the permission levels that have been set by default for
153.940	0.010	levels that have been set by default for
153.950	5.010	levels that have been set by default for members and an collaborators so this
158.960	0.010	members and an collaborators so this
158.970	1.700	members and an collaborators so this procedure is going to be about these so
160.670	0.010	procedure is going to be about these so
160.680	2.000	procedure is going to be about these so the dissipation represented before is
162.680	0.010	the dissipation represented before is
162.690	1.640	the dissipation represented before is starting where I you know I want to make
164.330	0.010	starting where I you know I want to make
164.340	1.790	starting where I you know I want to make a contribution to a source repo
166.130	0.010	a contribution to a source repo
166.140	2.780	a contribution to a source repo I think I do things correctly but it's
168.920	0.010	I think I do things correctly but it's
168.930	1.130	I think I do things correctly but it's very likely that I kind of meet
170.060	0.010	very likely that I kind of meet
170.070	2.540	very likely that I kind of meet something and when I push what happens
172.610	0.010	something and when I push what happens
172.620	1.520	something and when I push what happens so one scenario would be that you might
174.140	0.010	so one scenario would be that you might
174.150	3.950	so one scenario would be that you might commit you know it goes to the PR the PR
178.100	0.010	commit you know it goes to the PR the PR
178.110	2.330	commit you know it goes to the PR the PR branch of my fork that would be what I
180.440	0.010	branch of my fork that would be what I
180.450	3.800	branch of my fork that would be what I would like I would like to happen but
184.250	0.010	would like I would like to happen but
184.260	1.460	would like I would like to happen but with the wrong configuration you want
185.720	0.010	with the wrong configuration you want
185.730	2.410	with the wrong configuration you want suction to wouldn't apply to my case
188.140	0.010	suction to wouldn't apply to my case
188.150	2.550	suction to wouldn't apply to my case option two could be that they commit you
190.700	0.010	option two could be that they commit you
190.710	1.910	option two could be that they commit you know goes to the master branch of my
192.620	0.010	know goes to the master branch of my
192.630	2.720	know goes to the master branch of my fork so again that that could be the
195.350	0.010	fork so again that that could be the
195.360	2.780	fork so again that that could be the case if I had said the correct URL but
198.140	0.010	case if I had said the correct URL but
198.150	2.300	case if I had said the correct URL but because I did the wrong URL that won't
200.450	0.010	because I did the wrong URL that won't
200.460	2.660	because I did the wrong URL that won't apply either so third option would be
203.120	0.010	apply either so third option would be
203.130	2.720	apply either so third option would be that the commits you know leaving that
205.850	0.010	that the commits you know leaving that
205.860	2.570	that the commits you know leaving that pull request go to the PR branch of a
208.430	0.010	pull request go to the PR branch of a
208.440	2.150	pull request go to the PR branch of a source ripple and that won't apply
210.590	0.010	source ripple and that won't apply
210.600	1.700	source ripple and that won't apply either because the pull request branch
212.300	0.010	either because the pull request branch
212.310	1.160	either because the pull request branch was never created
213.470	0.010	was never created
213.480	2.240	was never created although the URL does going to the
215.720	0.010	although the URL does going to the
215.730	2.080	although the URL does going to the source red boat because I had made that
217.810	0.010	source red boat because I had made that
217.820	2.670	source red boat because I had made that incorrectly II couldn't go to a pure
220.490	0.010	incorrectly II couldn't go to a pure
220.500	2.810	incorrectly II couldn't go to a pure branch so scenario 4 would be that my
223.310	0.010	branch so scenario 4 would be that my
223.320	1.940	branch so scenario 4 would be that my commit goes to the master branch of a
225.260	0.010	commit goes to the master branch of a
225.270	3.500	commit goes to the master branch of a sort of ripple and that could be so when
228.770	0.010	sort of ripple and that could be so when
228.780	2.110	sort of ripple and that could be so when that could be well for example if I have
230.890	0.010	that could be well for example if I have
230.900	4.950	that could be well for example if I have pushed privileges to that that ripple
235.850	0.010	pushed privileges to that that ripple
235.860	2.240	pushed privileges to that that ripple and sometimes I don't know if I have
238.100	0.010	and sometimes I don't know if I have
238.110	4.520	and sometimes I don't know if I have that privilege so that's what I'm gonna
242.630	0.010	that privilege so that's what I'm gonna
242.640	1.730	that privilege so that's what I'm gonna cover in this presentation basically
244.370	0.010	cover in this presentation basically
244.380	3.500	cover in this presentation basically what happens in that scenario depends on
247.880	0.010	what happens in that scenario depends on
247.890	2.360	what happens in that scenario depends on what's my role if I'm an owner an actor
250.250	0.010	what's my role if I'm an owner an actor
250.260	2.360	what's my role if I'm an owner an actor I am an owner of the organisation me and
252.620	0.010	I am an owner of the organisation me and
252.630	2.870	I am an owner of the organisation me and a few others then a mistake could mean
255.500	0.010	a few others then a mistake could mean
255.510	4.100	a few others then a mistake could mean that I will push a commit to the massive
259.610	0.010	that I will push a commit to the massive
259.620	2.840	that I will push a commit to the massive range of production can already proposed
262.460	0.010	range of production can already proposed
262.470	2.360	range of production can already proposed through even if I think I don't have
264.830	0.010	through even if I think I don't have
264.840	1.810	through even if I think I don't have access if I'm an owner I
266.650	0.010	access if I'm an owner I
266.660	3.890	access if I'm an owner I so we're ready to talk about you know
270.550	0.010	so we're ready to talk about you know
270.560	2.390	so we're ready to talk about you know these different roles that you have it
272.950	0.010	these different roles that you have it
272.960	2.030	these different roles that you have it provides for members of an organization
274.990	0.010	provides for members of an organization
275.000	3.020	provides for members of an organization and also an additional role that is for
278.020	0.010	and also an additional role that is for
278.030	5.420	and also an additional role that is for outside collaborate so as an owner you
283.450	0.010	outside collaborate so as an owner you
283.460	2.960	outside collaborate so as an owner you have complete administrative access to
286.420	0.010	have complete administrative access to
286.430	2.660	have complete administrative access to your your organization then which this
289.090	0.010	your your organization then which this
289.100	3.290	your your organization then which this second role is called building manager
292.390	0.010	second role is called building manager
292.400	1.430	second role is called building manager which I'm not going to talk about
293.830	0.010	which I'm not going to talk about
293.840	2.390	which I'm not going to talk about because it's not all that exciting or
296.230	0.010	because it's not all that exciting or
296.240	2.120	because it's not all that exciting or important for what we do and then the
298.360	0.010	important for what we do and then the
298.370	3.050	important for what we do and then the member role is just anything any
301.420	0.010	member role is just anything any
301.430	2.450	member role is just anything any everyone else except the owners and
303.880	0.010	everyone else except the owners and
303.890	2.900	everyone else except the owners and meeting Manchester and you can set a
306.790	0.010	meeting Manchester and you can set a
306.800	3.230	meeting Manchester and you can set a default for what is the access of any
310.030	0.010	default for what is the access of any
310.040	1.910	default for what is the access of any member of the organization so I'm going
311.950	0.010	member of the organization so I'm going
311.960	4.030	member of the organization so I'm going to show you later what it looks like so
315.990	0.010	to show you later what it looks like so
316.000	3.180	to show you later what it looks like so you can set the default of what members
319.180	0.010	you can set the default of what members
319.190	3.950	you can set the default of what members can do for all records so when you say
323.140	0.010	can do for all records so when you say
323.150	1.820	can do for all records so when you say well all members would have saved a
324.970	0.010	well all members would have saved a
324.980	2.810	well all members would have saved a privilege by default if you are a member
327.790	0.010	privilege by default if you are a member
327.800	1.700	privilege by default if you are a member of the organization you get great
329.500	0.010	of the organization you get great
329.510	2.480	of the organization you get great privilege to every rebel but if you say
331.990	0.010	privilege to every rebel but if you say
332.000	1.850	privilege to every rebel but if you say well you know you I'm gonna set the
333.850	0.010	well you know you I'm gonna set the
333.860	2.810	well you know you I'm gonna set the default member privilege to admin then
336.670	0.010	default member privilege to admin then
336.680	2.210	default member privilege to admin then even if you don't know you will have
338.890	0.010	even if you don't know you will have
338.900	1.910	even if you don't know you will have admin privilege meaning that you can
340.810	0.010	admin privilege meaning that you can
340.820	2.180	admin privilege meaning that you can even delete repository that you don't
343.000	0.010	even delete repository that you don't
343.010	4.460	even delete repository that you don't even know about so then you know you may
347.470	0.010	even know about so then you know you may
347.480	1.580	even know about so then you know you may want to kind of manage the access
349.060	0.010	want to kind of manage the access
349.070	2.630	want to kind of manage the access permission for multiple members in an
351.700	0.010	permission for multiple members in an
351.710	2.030	permission for multiple members in an organization and you can do that with
353.740	0.010	organization and you can do that with
353.750	2.510	organization and you can do that with what it had calls T so basically you
356.260	0.010	what it had calls T so basically you
356.270	4.310	what it had calls T so basically you group people in formal teams you say to
360.580	0.010	group people in formal teams you say to
360.590	1.880	group people in formal teams you say to it have hey this is a team and then you
362.470	0.010	it have hey this is a team and then you
362.480	2.750	it have hey this is a team and then you set the privilege for everyone in that
365.230	0.010	set the privilege for everyone in that
365.240	3.830	set the privilege for everyone in that team to wherever that team has access to
369.070	0.010	team to wherever that team has access to
369.080	3.980	team to wherever that team has access to and finally kind of a list the list or
373.060	0.010	and finally kind of a list the list or
373.070	2.480	and finally kind of a list the list or the more granular level of permission it
375.550	0.010	the more granular level of permission it
375.560	1.520	the more granular level of permission it could be that of outside collaborators
377.080	0.010	could be that of outside collaborators
377.090	3.200	could be that of outside collaborators so instead of saying well if you're on a
380.290	0.010	so instead of saying well if you're on a
380.300	2.150	so instead of saying well if you're on a side collaborator you by default have
382.450	0.010	side collaborator you by default have
382.460	2.030	side collaborator you by default have access to no repository so you have to
384.490	0.010	access to no repository so you have to
384.500	3.020	access to no repository so you have to give them specific access to and one
387.520	0.010	give them specific access to and one
387.530	2.240	give them specific access to and one purple at a time so that is kind of a
389.770	0.010	purple at a time so that is kind of a
389.780	3.770	purple at a time so that is kind of a more protective more protective approach
393.550	0.010	more protective more protective approach
393.560	2.300	more protective more protective approach that you can have to managing
395.860	0.010	that you can have to managing
395.870	3.870	that you can have to managing permissions and then
399.740	0.010	permissions and then
399.750	2.360	permissions and then once you know once we focus on one
402.110	0.010	once you know once we focus on one
402.120	2.330	once you know once we focus on one specific repo remember that before I
404.450	0.010	specific repo remember that before I
404.460	1.490	specific repo remember that before I mentioned that for simple organization
405.950	0.010	mentioned that for simple organization
405.960	3.200	mentioned that for simple organization owners whatever they access so they have
409.160	0.010	owners whatever they access so they have
409.170	1.610	owners whatever they access so they have admin privilege to everything
410.780	0.010	admin privilege to everything
410.790	2.200	admin privilege to everything so now let's focus on just one specific
412.990	0.010	so now let's focus on just one specific
413.000	1.980	so now let's focus on just one specific ripple what are the levels of
414.980	0.010	ripple what are the levels of
414.990	2.540	ripple what are the levels of permissions that people might have okay
417.530	0.010	permissions that people might have okay
417.540	2.560	permissions that people might have okay at the lowest level so that the least
420.100	0.010	at the lowest level so that the least
420.110	3.540	at the lowest level so that the least permissive permission could be to rate
423.650	0.010	permissive permission could be to rate
423.660	4.190	permissive permission could be to rate you just you know you can you know see
427.850	0.010	you just you know you can you know see
427.860	2.420	you just you know you can you know see what's in each repo and you can discuss
430.280	0.010	what's in each repo and you can discuss
430.290	3.050	what's in each repo and you can discuss the project but you can do nothing else
433.340	0.010	the project but you can do nothing else
433.350	2.510	the project but you can do nothing else than that and in some scenarios that is
435.860	0.010	than that and in some scenarios that is
435.870	1.880	than that and in some scenarios that is precisely what people might do like
437.750	0.010	precisely what people might do like
437.760	1.700	precisely what people might do like someone that is managing a brochure but
439.460	0.010	someone that is managing a brochure but
439.470	2.360	someone that is managing a brochure but it's not intending to commit anything
441.830	0.010	it's not intending to commit anything
441.840	2.480	it's not intending to commit anything that they might want you know every
444.320	0.010	that they might want you know every
444.330	2.420	that they might want you know every access to it or if you use very heavily
446.750	0.010	access to it or if you use very heavily
446.760	2.390	access to it or if you use very heavily what's called the github workflow which
449.150	0.010	what's called the github workflow which
449.160	1.999	what's called the github workflow which is what we use where you know that
451.159	0.010	is what we use where you know that
451.169	2.990	is what we use where you know that people can push but not directly to a
454.159	0.010	people can push but not directly to a
454.169	1.911	people can push but not directly to a ripple but through pull requests so
456.080	0.010	ripple but through pull requests so
456.090	1.370	ripple but through pull requests so basically you know you push for me to
457.460	0.010	basically you know you push for me to
457.470	2.840	basically you know you push for me to your branch in your own fork and then
460.310	0.010	your branch in your own fork and then
460.320	2.420	your branch in your own fork and then you submit that commit by I pull request
462.740	0.010	you submit that commit by I pull request
462.750	2.480	you submit that commit by I pull request and even if you have only read access to
465.230	0.010	and even if you have only read access to
465.240	2.900	and even if you have only read access to a red bow that it helped workflow allows
468.140	0.010	a red bow that it helped workflow allows
468.150	1.970	a red bow that it helped workflow allows you to contribute to that prayer home
470.120	0.010	you to contribute to that prayer home
470.130	4.190	you to contribute to that prayer home even though you can't fund so I'm going
474.320	0.010	even though you can't fund so I'm going
474.330	1.610	even though you can't fund so I'm going to skip the triage I'm just going to
475.940	0.010	to skip the triage I'm just going to
475.950	2.240	to skip the triage I'm just going to talk about this intermediate level where
478.190	0.010	talk about this intermediate level where
478.200	2.900	talk about this intermediate level where you you know you can push and right kind
481.100	0.010	you you know you can push and right kind
481.110	4.549	you you know you can push and right kind of right to to a repo and if you're
485.659	0.010	of right to to a repo and if you're
485.669	2.121	of right to to a repo and if you're actively no developing a project you
487.790	0.010	actively no developing a project you
487.800	3.050	actively no developing a project you might want that but but you also need to
490.850	0.010	might want that but but you also need to
490.860	2.600	might want that but but you also need to know a lot about it because if you can
493.460	0.010	know a lot about it because if you can
493.470	2.900	know a lot about it because if you can push directly to to the red power then
496.370	0.010	push directly to to the red power then
496.380	1.790	push directly to to the red power then you may get in trouble sometimes I do it
498.170	0.010	you may get in trouble sometimes I do it
498.180	1.729	you may get in trouble sometimes I do it all the time and then to get out of your
499.909	0.010	all the time and then to get out of your
499.919	2.511	all the time and then to get out of your own trouble generally you need to know
502.430	0.010	own trouble generally you need to know
502.440	3.170	own trouble generally you need to know more than just you know basically I'm
505.610	0.010	more than just you know basically I'm
505.620	1.670	more than just you know basically I'm going to skip Montaigne and I'm going to
507.290	0.010	going to skip Montaigne and I'm going to
507.300	2.090	going to skip Montaigne and I'm going to talk about you know dedicate is whole
509.390	0.010	talk about you know dedicate is whole
509.400	3.290	talk about you know dedicate is whole slide to this admin permission level
512.690	0.010	slide to this admin permission level
512.700	2.090	slide to this admin permission level because it's the most powerful but also
514.790	0.010	because it's the most powerful but also
514.800	1.570	because it's the most powerful but also the one that requires more
516.370	0.010	the one that requires more
516.380	4.019	the one that requires more responsibility on that Cohasset and the
520.399	0.010	responsibility on that Cohasset and the
520.409	1.250	responsibility on that Cohasset and the one that is of course more dangerous
521.659	0.010	one that is of course more dangerous
521.669	1.311	one that is of course more dangerous because I mean
522.980	0.010	because I mean
522.990	3.290	because I mean privilege allows you to do this tractive
526.280	0.010	privilege allows you to do this tractive
526.290	2.090	privilege allows you to do this tractive and sensitive action so you can delete
528.380	0.010	and sensitive action so you can delete
528.390	3.250	and sensitive action so you can delete the repo or you can change security
531.640	0.010	the repo or you can change security
531.650	1.530	the repo or you can change security issues
533.180	0.010	issues
533.190	4.329	issues Recker so basically a decisive quote
537.519	0.010	Recker so basically a decisive quote
537.529	3.751	Recker so basically a decisive quote from the github help files organization
541.280	0.010	from the github help files organization
541.290	2.779	from the github help files organization owners have admin permissions and this
544.069	0.010	owners have admin permissions and this
544.079	2.391	owners have admin permissions and this is by default for every repository owned
546.470	0.010	is by default for every repository owned
546.480	2.329	is by default for every repository owned by the organization so if you are an
548.809	0.010	by the organization so if you are an
548.819	2.841	by the organization so if you are an owner like me of the organization or or
551.660	0.010	owner like me of the organization or or
551.670	2.599	owner like me of the organization or or like Taylor for example if someone else
554.269	0.010	like Taylor for example if someone else
554.279	1.730	like Taylor for example if someone else in the organization creates a repo
556.009	0.010	in the organization creates a repo
556.019	1.370	in the organization creates a repo I may not even know that they are
557.389	0.010	I may not even know that they are
557.399	2.211	I may not even know that they are creating that but I still have you know
559.610	0.010	creating that but I still have you know
559.620	3.259	creating that but I still have you know privileges to say no deleted so it's
562.879	0.010	privileges to say no deleted so it's
562.889	1.761	privileges to say no deleted so it's something to take with a lot of
564.650	0.010	something to take with a lot of
564.660	4.010	something to take with a lot of responsibility so let me give you an
568.670	0.010	responsibility so let me give you an
568.680	2.629	responsibility so let me give you an example of you know what all these
571.309	0.010	example of you know what all these
571.319	2.961	example of you know what all these settings look like on the github
574.280	0.010	settings look like on the github
574.290	2.750	settings look like on the github organization to the Greeson investing so
577.040	0.010	organization to the Greeson investing so
577.050	2.089	organization to the Greeson investing so the organization has a tab that says
579.139	0.010	the organization has a tab that says
579.149	4.251	the organization has a tab that says people there are 30 members of the
583.400	0.010	people there are 30 members of the
583.410	1.729	people there are 30 members of the recession and you can see that in this
585.139	0.010	recession and you can see that in this
585.149	3.170	recession and you can see that in this number however if you filter for the
588.319	0.010	number however if you filter for the
588.329	3.920	number however if you filter for the role owner just the owners then you get
592.249	0.010	role owner just the owners then you get
592.259	2.451	role owner just the owners then you get one two three four five six owners so
594.710	0.010	one two three four five six owners so
594.720	4.849	one two three four five six owners so Claire clouds even me Mike and Tyler we
599.569	0.010	Claire clouds even me Mike and Tyler we
599.579	2.031	Claire clouds even me Mike and Tyler we are all owners of their own station I
601.610	0.010	are all owners of their own station I
601.620	2.120	are all owners of their own station I don't know if we all know that we are
603.740	0.010	don't know if we all know that we are
603.750	2.509	don't know if we all know that we are owners but we are I here this will we
606.259	0.010	owners but we are I here this will we
606.269	2.031	owners but we are I here this will we can change the roles if you want it from
608.300	0.010	can change the roles if you want it from
608.310	3.410	can change the roles if you want it from one to the other so these people have a
611.720	0.010	one to the other so these people have a
611.730	2.980	one to the other so these people have a lot of power and a lot of responsibility
614.710	0.010	lot of power and a lot of responsibility
614.720	3.870	lot of power and a lot of responsibility because if things go wrong then I don't
618.590	0.010	because if things go wrong then I don't
618.600	1.729	because if things go wrong then I don't know if something's up or either they
620.329	0.010	know if something's up or either they
620.339	2.331	know if something's up or either they cannot be undone or maybe you have to
622.670	0.010	cannot be undone or maybe you have to
622.680	2.300	cannot be undone or maybe you have to kind of really ask to get help please
624.980	0.010	kind of really ask to get help please
624.990	1.610	kind of really ask to get help please please please do something that I'm not
626.600	0.010	please please do something that I'm not
626.610	3.469	please please do something that I'm not supposed to that I can't record so if I
630.079	0.010	supposed to that I can't record so if I
630.089	1.850	supposed to that I can't record so if I if I for example if I click here on
631.939	0.010	if I for example if I click here on
631.949	2.480	if I for example if I click here on Klaus then I get this message so Klaus
634.429	0.010	Klaus then I get this message so Klaus
634.439	2.601	Klaus then I get this message so Klaus this is the page for Klaus as an owner
637.040	0.010	this is the page for Klaus as an owner
637.050	2.180	this is the page for Klaus as an owner of the organization and explicitly says
639.230	0.010	of the organization and explicitly says
639.240	2.630	of the organization and explicitly says as an owner Klaus has admin access to
641.870	0.010	as an owner Klaus has admin access to
641.880	2.299	as an owner Klaus has admin access to all the repositories that belong to the
644.179	0.010	all the repositories that belong to the
644.189	2.661	all the repositories that belong to the 2° investing organization and gives you
646.850	0.010	2° investing organization and gives you
646.860	2.959	2° investing organization and gives you a link to manage that if you want so now
649.819	0.010	a link to manage that if you want so now
649.829	4.550	a link to manage that if you want so now if I go to the Settings tab before I was
654.379	0.010	if I go to the Settings tab before I was
654.389	1.610	if I go to the Settings tab before I was hearing in people if I go to the
655.999	0.010	hearing in people if I go to the
656.009	2.930	hearing in people if I go to the Settings tab I can click on member
658.939	0.010	Settings tab I can click on member
658.949	2.300	Settings tab I can click on member privileges and I can set the base
661.249	0.010	privileges and I can set the base
661.259	2.420	privileges and I can set the base permission for every member so remember
663.679	0.010	permission for every member so remember
663.689	2.171	permission for every member so remember I told you that being a member
665.860	0.010	I told you that being a member
665.870	3.170	I told you that being a member allows the organization and their owners
669.040	0.010	allows the organization and their owners
669.050	3.110	allows the organization and their owners our or admins to set the default level
672.160	0.010	our or admins to set the default level
672.170	2.330	our or admins to set the default level of permission for anyone that is part of
674.500	0.010	of permission for anyone that is part of
674.510	3.380	of permission for anyone that is part of that organization so you can say rate
677.890	0.010	that organization so you can say rate
677.900	1.760	that organization so you can say rate which is the most conservative one and
679.660	0.010	which is the most conservative one and
679.670	3.440	which is the most conservative one and then if anyone needs more power more
683.110	0.010	then if anyone needs more power more
683.120	2.480	then if anyone needs more power more powers then you can give them those
685.600	0.010	powers then you can give them those
685.610	2.900	powers then you can give them those powers kind of one by one or if you kind
688.510	0.010	powers kind of one by one or if you kind
688.520	2.030	powers kind of one by one or if you kind of go to the other extreme if you say
690.550	0.010	of go to the other extreme if you say
690.560	2.450	of go to the other extreme if you say well everyone has admin privileges then
693.010	0.010	well everyone has admin privileges then
693.020	3.440	well everyone has admin privileges then everyone can do anything in any repo so
696.460	0.010	everyone can do anything in any repo so
696.470	1.700	everyone can do anything in any repo so basically it's kind of saying well
698.170	0.010	basically it's kind of saying well
698.180	2.240	basically it's kind of saying well everyone is almost an owner of their own
700.420	0.010	everyone is almost an owner of their own
700.430	3.110	everyone is almost an owner of their own section and then whether it's other
703.540	0.010	section and then whether it's other
703.550	3.590	section and then whether it's other privilege that you can give them now
707.140	0.010	privilege that you can give them now
707.150	3.380	privilege that you can give them now we're getting to a particular rebel here
710.530	0.010	we're getting to a particular rebel here
710.540	2.320	we're getting to a particular rebel here what I'm showing is what it looks like
712.860	0.010	what I'm showing is what it looks like
712.870	3.600	what I'm showing is what it looks like one specific repository called art - Dai
716.470	0.010	one specific repository called art - Dai
716.480	3.920	one specific repository called art - Dai not much in the settings section I click
720.400	0.010	not much in the settings section I click
720.410	2.690	not much in the settings section I click here on collaborators and team and I
723.100	0.010	here on collaborators and team and I
723.110	2.140	here on collaborators and team and I wanted to show you kind of these three
725.250	0.010	wanted to show you kind of these three
725.260	3.300	wanted to show you kind of these three windows at the top in the middle at the
728.560	0.010	windows at the top in the middle at the
728.570	3.110	windows at the top in the middle at the bottom where I am managing the
731.680	0.010	bottom where I am managing the
731.690	2.240	bottom where I am managing the privileges that for example the Jackson
733.930	0.010	privileges that for example the Jackson
733.940	3.470	privileges that for example the Jackson has and via three different channels so
737.410	0.010	has and via three different channels so
737.420	2.420	has and via three different channels so the first channel here at the top this
739.840	0.010	the first channel here at the top this
739.850	1.700	the first channel here at the top this window shows what's the privilege that
741.550	0.010	window shows what's the privilege that
741.560	3.800	window shows what's the privilege that everyone gets including Jackson of the
745.360	0.010	everyone gets including Jackson of the
745.370	3.170	everyone gets including Jackson of the organization sorry I hear some
748.540	0.010	organization sorry I hear some
748.550	4.810	organization sorry I hear some background noise let me see we can mute
753.360	0.010	background noise let me see we can mute
753.370	3.870	background noise let me see we can mute I'm gonna mute or Claire can you can you
757.240	0.010	I'm gonna mute or Claire can you can you
757.250	7.870	I'm gonna mute or Claire can you can you mute yourself please sure cool thanks
768.220	0.010	so at this top window
768.230	3.620	so at this top window what we have is what's the access that
771.850	0.010	what we have is what's the access that
771.860	3.530	what we have is what's the access that everyone gets by default just by being a
775.390	0.010	everyone gets by default just by being a
775.400	3.590	everyone gets by default just by being a member so it says that the two degrees
778.990	0.010	member so it says that the two degrees
779.000	2.030	member so it says that the two degrees invest in organization has their default
781.030	0.010	invest in organization has their default
781.040	2.060	invest in organization has their default repository permission said to me which
783.100	0.010	repository permission said to me which
783.110	1.820	repository permission said to me which is what we saw a couple of slides before
784.930	0.010	is what we saw a couple of slides before
784.940	2.720	is what we saw a couple of slides before so therefore Jackson will have by
787.660	0.010	so therefore Jackson will have by
787.670	2.300	so therefore Jackson will have by default just from being a member he
